sõna,sihtsünohulk,suhtesoovitused,sihtsünohulga definitsioon,suhtega seotud soovitused
AINE,ökofüsioloogia.n.01,"{""Synset('piiriteadus.n.01')""}","ökoloogia ja füsioloogia piiriteadus, mis käsitleb organismide kohanemis- ja kohastumisreaktsioone (EKSS)",set()
AINE,genealoogia.n.02,"{""Synset('abiteadus.n.01')""}","ajaloo abiteadus, mis uurib sugukondade, perekondade ja üksikisikute põlvnemist ja sugulussuhteid.",set()
AINE,spordipsühholoogia.n.01,"{""Synset('psühholoogia.n.01')""}","psühholoogia haru, mis käsitleb inimese psüühika avaldumist ja arengut sportlikus tegevuses","{""Synset('psühholoogia.n.01')""}"
AINE,kriminaalpsühholoogia.n.01,"{""Synset('psühholoogia.n.01')""}","kohtupsühholoogia haru, mis uurib kuritegevuse põhjusi, kurjategija isiksuse kujunemist jms","{""Synset('psühholoogia.n.01')""}"
AINE,rakendusentomoloogia.n.01,"{""Synset('entomoloogia.n.01')""}",kahjurputukaid uuriv ja tõrjemeetodeid loov entomoloogia haru,"{""Synset('entomoloogia.n.01')""}"
AINE,raadiometeoroloogia.n.01,"{""Synset('piiriteadus.n.01')""}","meteoroloogia ja raadiotehnika piiriteadus, mis uurib meteoroloogiliste protsesside mõju raadiolainete levimisele atmosfääris",set()
AINE,etioloogia.n.01,"{""Synset('meditsiin.n.01')""}","teadusharu, mis tegeleb põhjuste väljaselgitamisega, eriti arstiteaduses",set()
AINE,kultuuriantropoloogia.n.01,"{""Synset('etnograafia.n.01')""}","inimkultuuri võrdlevalt uuriv teadus (hõlmab üldistava teadusena etnoloogia, etnograafia, folkloristika, arheoloogia ja lingvistika (EKSS)","{""Synset('etnograafia.n.01')""}"
AINE,loomingupsühholoogia.n.01,"{""Synset('psühholoogia.n.01')"", ""Synset('kunstipsühholoogia.n.01')""}",loominguprotsessi psühholoogilist külge uuriv kunstipsühholoogia haru (EKSS),set()
AINE,taimemorfoloogia.n.01,"{""Synset('morfoloogia.n.02')""}",taimede välisehitust käsitlev botaanika osa (EKSS),set()
AINE,tehnopsühholoogia.n.01,"{""Synset('psühholoogia.n.01')""}",inimese ja masina sobitamist uuriv psühholoogia haru (EKSS),set()
AINE,pedagoogikapsühholoogia.n.01,"{""Synset('psühholoogia.n.01')""}",kasvatamise ja õpetamise psüühilisi eeldusi ja seaduspärasusi käsitlev psühholoogia haru,"{""Synset('psühholoogia.n.01')""}"
AINE,tajupsühholoogia.n.01,"{""Synset('psühholoogia.n.01')""}",taju käsitlev psühholoogia haru (EKSS),set()
AINE,paleograafia.n.01,"{""Synset('abiteadus.n.01')""}","antiik- ja keskaja käsikirjade kirja arenemist, kirjutusviisi ja materjali uuriv ajaloo abiteadus",set()
AINE,pomoloogia.n.01,"{""Synset('hortoloogia.n.01')""}",puuvilja- ja marjasortidega tegelev aiandusteaduse haru,"{""Synset('hortoloogia.n.01')""}"
AINE,psühhofüsioloogia.n.01,"{""Synset('psühholoogia.n.01')""}","psühholoogia osa, mis uurib psüühiliste ja füsioloogiliste protsesside vahekorda","{""Synset('psühholoogia.n.01')""}"
AINE,spordifüsioloogia.n.01,"{""Synset('meditsiin.n.01')""}","spordimeditsiini haru, mis uurib kehaliste pingutuste puhul organismis tekkivaid talitluslikke muutusi",set()
AINE,planktonoloogia.n.01,"{""Synset('hüdrobioloogia.n.01')""}",veekogude planktoni uurimisega tegelev hüdrobioloogia osa,"{""Synset('hüdrobioloogia.n.01')""}"
AINE,humanitaarteadus.n.01,"{""Synset('reaalteadus.n.01')""}",inimest ja ühiskonda käsitlev teadus vastandatuna reaalteadustele,set()
AINE,trassoloogia.n.01,"{""Synset('kriminalistika.n.01')""}",jälgede uurimisega tegelev kriminalistika haru (EKSS),set()
AINE,lihtaine.n.01,"{""Synset('element.n.02')"", ""Synset('algaine.n.01')"", ""Synset('aatom.n.01')""}","aine, mis koosneb ühe keemilise elemendi aatomitest",set()
AINE,liitaine.n.01,"{""Synset('aatom.n.01')""}","aine, mis koosneb kahe v. enama aine aatomitest",set()
AINE,initsiaator.n.02,"{""Synset('promootor.n.01')""}","aine, mis tekitab rakus püsiva muutuse, mis võib promootori toimel viia pahaloomulise kasvuni",set()
AINE,väetis.n.01,"{""Synset('segu.n.01')""}","aine, nt sõnnik või segu nitraatidest, mis muudab pinnase viljakamaks",set()
AINE,keemiline ühend.n.01,"{""Synset('element.n.02')"", ""Synset('algaine.n.01')""}","aine, mis on moodustunud keemilise reaktsiooni tulemusel kahest v. enamast elemendist",set()
AINE,settematerjal.n.01,"{""Synset('materjal.n.01')""}",settinud aine (EKSS),set()
AINE,aineosake.n.01,"{""Synset('aatom.n.01')"", ""Synset('mass.n.02')""}","väike osa ainest, millel on mass, ruumala ja muud iseloomulikud omadused",set()
AINE,inokulaat.n.01,"{""Synset('materjal.n.01')""}","inokuleeritud aine, materjal",set()
AINE,kvintessents.n.01,"{""Synset('element.n.02')"", ""Synset('algaine.n.01')""}","Aristotelesel maa, tule, õhu ja vee kõrval viies element, mis ei allu muutumisele ega hääbumisele ja sisaldub ainult taevakehades",set()
AINE,tahm.n.01,"{""Synset('kütus.n.01')""}","kütuse mittetäielikul põlemisel tekkiv peam. tahmast koosnev sadestis (suitsukäikude, sisepõlemismootorite seintel jne.).","{""Synset('kütus.n.01')""}"
AINE,söödav.n.01,"{""Synset('toit.n.03')""}","kõik, mis on kasutatav toiduna",set()
AINE,orgaaniline ühend.n.01,"{""Synset('keemiline ühend.n.01')""}","elusa loodusega seotud, taimne v loomne ühend; organismi ehitusest tingitud ühend",set()
AINE,antioksüdant.n.01,"{""Synset('keemiline ühend.n.01')""}","ühend, mis takistab v. aeglustab organismis oksüdatsiooni (EKSS)",set()
AINE,radikaal.n.02,"{""Synset('aatom.n.01')"", ""Synset('keemiline ühend.n.01')""}","(keemias) aatomite rühm, mis läheb muutumatult ühest keemilisest ühendist teise üle",set()
AINE,antiaine.n.01,"{""Synset('aatom.n.01')"", ""Synset('mass.n.02')""}","tavaaine osakestega sama massi, kuid vastandmärgilise laenguga osakestest moodustunud aine",set()
AINE,promootor.n.01,"{""Synset('initsiaator.n.02')""}","aine, mis pärast esialgselt mõju avaldanud initsiaatorit muudab raku vähirakuks",set()
AINE,kvadriivium.n.01,"{""Synset('triivium.n.01')""}","neli vaba teadust, mis järgnesid keskaegsete ülikoolide õppekavas triiviumile",set()
AJAJÄRK,uusaeg.n.01,"{""Synset('keskaeg.n.01')""}",keskajale järgnenud üldajaloo periood (EKSS),"{""Synset('keskaeg.n.01')""}"
AJAJÄRK,keskaeg.n.01,"{""Synset('uusaeg.n.01')""}",vana- ja uusaja vaheline üldajaloo periood (EKSS),"{""Synset('uusaeg.n.01')""}"
AJAJÄRK,renessansiaeg.n.01,"{""Synset('keskaeg.n.01')""}",periood Euroopa ajaloos; lähedal keskajale,set()
AJALEHT,tabloid.n.01,"{""Synset('kõmuleht.n.01')""}","kõmuleht (millel on oma kindel, väiksem formaat) (EKSS)","{""Synset('kõmuleht.n.01')""}"
AJASTU,ordoviitsium.n.01,"{""Synset('silur.n.03')"", ""Synset('kambrium.n.01')""}","vanaaegkonna teine, kambriumile järgnenud ja silurile eelnenud ajastu ning ladestu (EKSS)",set()
AJASTU,paleogeen.n.01,"{""Synset('neogeen.n.01')"", ""Synset('kriidiajastu.n.01')""}","uusaegkonna vanim, kriidiajastule järgnenud ja neogeenile eelnenud ajastu (EKSS)",set()
AJASTU,neogeen.n.01,"{""Synset('kvaternaar.n.01')""}","uusaegkonna teine, kvaternaarile eelnenud ajastu (EKSS)",set()
AJAVAHEMIK,aasta.n.03,"{""Synset('intervall.n.01')""}","ajavahemik, mille jooksul mingi planeet (nt. Maa või Mars) teeb tiiru ümber oma päikese",set()
AJAVAHEMIK,nädal.n.02,"{""Synset('intervall.n.01')"", ""Synset('päev.n.06')"", ""Synset('päev.n.05')"", ""Synset('päev.n.07')"", ""Synset('tööpäev.n.01')""}",millelegi pühendatud seitsme päeva pikkune ajavahemik (EKSS),set()
AJAVAHEMIK,aken.n.04,"{""Synset('moment.n.01')""}","vaba ajahetk, mis jääb muu (põhi)tegevuse sisse",set()
AJAVAHEMIK,aastavahetus.n.01,"{""Synset('algus.n.02')"", ""Synset('aasta.n.03')"", ""Synset('aasta.n.02')""}",kalendriaasta vahetumine; vana aasta lõpp ja uue aasta algus,set()
AJAVAHEMIK,intervall.n.01,"{""Synset('moment.n.01')""}","ajaperiood, mis on märgitud kahe momendiga",set()
AJAVAHEMIK,päev.n.07,"{""Synset('epohh.n.01')"", ""Synset('aeg.n.04')""}","aeg, mille jooksul taevakeha pöörab ümber oma telje",set()
AJAVAHEMIK,õhtupoolik.n.01,"{""Synset('päev.n.06')"", ""Synset('päev.n.05')"", ""Synset('päev.n.07')"", ""Synset('tööpäev.n.01')""}",õhtune pool päevast,set()
AJAVAHEMIK,hooaeg.n.01,"{""Synset('epohh.n.01')"", ""Synset('aeg.n.04')"", ""Synset('aasta.n.03')"", ""Synset('aasta.n.02')""}","aastast aastasse korduv ajalõik, mil tegeldakse mingi kindla tööga, spordialaga, kunstiga vms.",set()
AJAVAHEMIK,aastaaeg.n.01,"{""Synset('epohh.n.01')"", ""Synset('aeg.n.04')"", ""Synset('aasta.n.03')"", ""Synset('aasta.n.02')""}",atmosfääri tingimuste järgi jaotatud aasta perioodid,set()
AJAVAHEMIK,katseaeg.n.01,"{""Synset('epohh.n.01')"", ""Synset('aeg.n.04')""}","aeg, mille vältel proovitakse kellegi võimeid, sobivust vms., eriti töökoha saamisele eelnev katseaeg (EKSS)",set()
AJAVAHEMIK,veerandsajand.n.01,"{""Synset('aasta.n.03')"", ""Synset('aasta.n.02')""}","veerand sajandit, 25 aastat (EKSS)",set()
AJAVAHEMIK,seanss.n.01,"{""Synset('intervall.n.01')""}","kindlaks määratud ajavahemik, mille vältel toimub mingi tegevus",set()
AJAVAHEMIK,õhtu.n.01,"{""Synset('intervall.n.01')"", ""Synset('öö.n.01')"", ""Synset('öö.n.02')""}",päikeseloojangu ja südaöö vahele jääv ajavahemik,set()
AJAVAHEMIK,vegetatsiooniperiood.n.01,"{""Synset('intervall.n.01')""}","ajavahemik, mille vältel taimed intensiivselt kasvavad ja arenevad (EKSS)",set()
AJAVAHEMIK,puhkeperiood.n.01,"{""Synset('intervall.n.01')""}",puhkamiseks ettenähtud ajavahemik (näiteks sportlastel),set()
AJAVAHEMIK,aegkond.n.01,"{""Synset('intervall.n.01')""}","eooni alajaotus, ajavahemik, mille kestel on kujunenud ladekonna kivimid (EKSS)",set()
AJAVAHEMIK,aasta.n.02,"{""Synset('moment.n.01')"", ""Synset('kuu.n.01')"", ""Synset('kuu.n.02')"", ""Synset('kuu.n.04')"", ""Synset('intervall.n.01')""}","12 kuu pikkune ajavahemik, lähtepunktiks ükskõik missugune moment",set()
AJAVAHEMIK,nädalapäevad.n.01,"{""Synset('päev.n.05')"", ""Synset('epohh.n.01')"", ""Synset('aeg.n.04')"", ""Synset('tööpäev.n.01')"", ""Synset('päev.n.06')"", ""Synset('nädal.n.02')"", ""Synset('päev.n.07')""}",umbes nädal (aega). (EKSS),set()
AJAVAHEMIK,katseperiood.n.01,"{""Synset('epohh.n.01')"", ""Synset('aeg.n.04')""}","aeg, mille käigus katsetatakse millegi sobivust millekski.",set()
AJAVAHEMIK,päev.n.06,"{""Synset('intervall.n.01')"", ""Synset('epohh.n.01')"", ""Synset('aeg.n.04')""}","päikesetõusu ja -loojaku vaheline ajavahemik, ülaloleku aeg",set()
AJAVAHEMIK,epohh.n.01,"{""Synset('moment.n.01')""}","periood aja(loo)s, mida iseloomustab mingi eripära v. mida arvutatakse mingist kindlast ajahetkest",set()
AJAVAHEMIK,kuu.n.04,"{""Synset('intervall.n.01')""}",ajavahemik Kuu kahe ühesuguse faasi vahel,set()
AJAVAHEMIK,jaguaeg.n.01,"{""Synset('epohh.n.01')"", ""Synset('aeg.n.04')""}",sügisene periood eesti rahvakalendris,set()
AJAVAHEMIK,mänguaeg.n.01,"{""Synset('epohh.n.01')"", ""Synset('aeg.n.04')""}","aeg, mille jooksul reeglite kohaselt on lubatud mängida",set()
AJAVAHEMIK,kinnisperiood.n.01,"{""Synset('intervall.n.01')""}",ajavahemik tiine lehma lüpsmise lõpetamisest järgmise poegimiseni (EKSS),set()
AJAVAHEMIK,nädalavahetus.n.01,"{""Synset('õhtupoolik.n.01')"", ""Synset('päev.n.05')"", ""Synset('tööpäev.n.01')"", ""Synset('päev.n.06')"", ""Synset('nädal.n.02')"", ""Synset('päev.n.07')""}","puhkepäevad nädala lõpus (laupäev ja pühapäev, ka reede õhtupoolik)",set()
AJAVAHEMIK,kuu.n.02,"{""Synset('kuu.n.01')"", ""Synset('päev.n.06')"", ""Synset('päev.n.05')"", ""Synset('päev.n.07')"", ""Synset('tööpäev.n.01')""}","umbes 30 päeva pikkune ajaühik, mitte kalendrikuu",set()
AJAVAHEMIK,interregnum.n.01,"{""Synset('intervall.n.01')""}",kahe seadusliku valitsuse vaheline ajavahemik,set()
AJAVAHEMIK,eluperiood.n.01,"{""Synset('eluaeg.n.01')""}",mingi kindel ajalõik elus,set()
AJAVAHEMIK,pikk tähtaeg.n.01,"{""Synset('intervall.n.01')"", ""Synset('epohh.n.01')"", ""Synset('aeg.n.04')""}","ajavahemik, mille jooksul suudetakse muuta kõiki, nii kinnis- kui ka muutuvsisendeid",set()
AJAVAHEMIK,algus.n.02,"{""Synset('moment.n.01')"", ""Synset('epohh.n.01')"", ""Synset('aeg.n.04')""}","mingi aja, perioodi v. sündmuse, tegevuse, töö jne. algusmoment v. algusosa",set()
AJAVAHEMIK,pühadevahe.n.01,"{""Synset('intervall.n.01')""}",ajavahemik kahe püha vahel,set()
AJAVAHEMIK,aeg.n.04,"{""Synset('intervall.n.01')""}",mingite iseloomulike tunnustega v. mingiks eesmärgiks sobiv kindlate piirideta ajavahemik,set()
AJAVAHEMIK,villimisaasta.n.01,"{""Synset('aasta.n.03')"", ""Synset('aasta.n.02')""}",,set()
AJAVAHEMIK,puhkeperiood.n.02,"{""Synset('intervall.n.01')""}","ajavahemik, mille vältel taime v. selle osa elutegevus on nõrgenenud (EKSS)",set()
AJAVAHEMIK,dekaad.n.01,"{""Synset('intervall.n.01')""}",kümnepäevane ajavahemik,set()
AJAVAHEMIK,kriisiperiood.n.01,"{""Synset('epohh.n.01')"", ""Synset('aeg.n.04')""}",,set()
AJAVAHEMIK,öö.n.02,"{""Synset('epohh.n.01')"", ""Synset('aeg.n.04')""}",magamiseks mõeldud aeg,set()
AJAVAHEMIK,öö.n.01,"{""Synset('intervall.n.01')"", ""Synset('epohh.n.01')"", ""Synset('aeg.n.04')""}",päikeseloojaku ja -tõusu vaheline ajavahemik,set()
AJAVAHEMIK,kvartal.n.02,"{""Synset('algus.n.02')"", ""Synset('aasta.n.03')"", ""Synset('aasta.n.02')""}","veerandaasta (algusega 1. jaan., 1. apr., 1. juuli ja 1. okt.)",set()
AJAVAHEMIK,inimpõlv.n.01,"{""Synset('intervall.n.01')"", ""Synset('epohh.n.01')"", ""Synset('aeg.n.04')""}","ajavahemik, mille jooksul enamik samal ajal sündinud inimesi muutub lapsest vanemaks, vanemast vanavanemaks jne.",set()
AJAVAHEMIK,puhkus.n.01,"{""Synset('intervall.n.01')"", ""Synset('epohh.n.01')"", ""Synset('aeg.n.04')""}","ajavahemik, mil töötaja on töökohustustest vaba",set()
AJAVAHEMIK,hommik.n.01,"{""Synset('päev.n.06')"", ""Synset('päev.n.05')"", ""Synset('päev.n.07')"", ""Synset('tööpäev.n.01')""}",päeva algusosa,set()
AJAVAHEMIK,aastatuhat.n.01,"{""Synset('aasta.n.03')"", ""Synset('aasta.n.02')""}","tuhat aastat, tuhandeaastane periood (EKSS)",set()
AJAVAHEMIK,peiteaeg.n.01,"{""Synset('epohh.n.01')"", ""Synset('aeg.n.04')""}",,set()
AJAVAHEMIK,kasvuaeg.n.02,"{""Synset('epohh.n.01')"", ""Synset('aeg.n.04')"", ""Synset('aasta.n.03')"", ""Synset('aasta.n.02')""}",(inimese kohta) kasvuaastad (EKSS),set()
AJAVAHEMIK,lühiperiood.n.01,"{""Synset('intervall.n.01')""}","ajavahemik, mille jooksul kõik vaadeldavaid nähtusi mõjustavad tegurid ei jõua täielikult seaduda",set()
AJAVAHEMIK,eluaeg.n.01,"{""Synset('päev.n.05')"", ""Synset('inimpõlv.n.01')"", ""Synset('epohh.n.01')"", ""Synset('aeg.n.04')"", ""Synset('tööpäev.n.01')"", ""Synset('päev.n.06')"", ""Synset('päev.n.07')"", ""Synset('tund.n.02')""}","elamise aeg, elu kestus; veel elada jääv elu inimese, looma v. taime elu kestus, aeg sünnist surmani (EKSS)",set()
AJAVAHEMIK,kuu.n.01,"{""Synset('intervall.n.01')"", ""Synset('aasta.n.03')"", ""Synset('aasta.n.02')""}","28-31-päevane ajavahemik, 1/12 aastast",set()
AJAVAHEMIK,semester.n.01,"{""Synset('aasta.n.03')"", ""Synset('aasta.n.02')""}",pool õppeaastat kõrgkoolis v. keskeriõppeasutuses,set()
AJAVAHEMIK,tund.n.02,"{""Synset('epohh.n.01')"", ""Synset('aeg.n.04')""}","aeg, mille jooksul kestab üks õppetund koolis",set()
AJAVAHEMIK,keskpaik.n.02,"{""Synset('moment.n.01')""}","ajaliselt keskmine järk, lõik, hetk vms.",set()
AJAVAHEMIK,päev.n.05,"{""Synset('öö.n.01')"", ""Synset('öö.n.02')""}",ametlikult keskööst keskööni arvestatav ajaühik,set()
AJAVAHEMIK,hapukurgihooaeg.n.01,"{""Synset('hooaeg.n.01')"", ""Synset('epohh.n.01')"", ""Synset('aeg.n.04')""}","hiline suveaeg, mida iseloomustavad liialdustega uudislood tühiste asjade kohta, kuigi soovitakse tõelisi uudiseid",set()
AJAVIIDE,mäng.n.04,"{""Synset('lõbustus.n.01')""}","tegevus, mida harrastatakse tema enda pärast, meelelahutuseks, lõbustuseks, tegevusrõõmuks",set()
AJAVIIDE,lõbustus.n.01,"{""Synset('pidu.n.02')""}","lõbus meelelahutus (etenduste, pidude jne. kohta)",set()
AKEN,passiivne aken.n.01,"{""Synset('kuvaaken.n.01')""}","suvaline kuvaaken, mida parajasti ei käsitseta",set()
AKEN,aktiivne aken.n.01,"{""Synset('kuvaaken.n.01')""}","suvaline kuvaaken, mida parajasti käsitsetakse",set()
AKT,väljendamine.n.01,"{""Synset('tekitamine.n.05')"", ""Synset('and.n.02')""}","mõtete, tunnete (teisendatult) väljendamine, edasiandmine",set()
AKT,agressioon.n.01,"{""Synset('ühe.n.01')"", ""Synset('rünnak.n.02')""}",ühe v. mitme riigi relvis kallaletung teisele riigile,set()
AKT,kummardamine.n.01,"{""Synset('hoidmine.n.02')""}",au sees pidamine,set()
AKT,vältimine.n.01,"{""Synset('hoidmine.n.02')""}",meelega eemale hoidmine,set()
AKT,vaatamine.n.01,"{""Synset('otsing.n.01')""}",silmadega otsimine,set()
AKT,allaandmine.n.01,"{""Synset('tekitamine.n.05')"", ""Synset('and.n.02')"", ""Synset('jäämine.n.01')""}",alistumine kindlatel tingimustel,set()
AKT,kaitse.n.01,"{""Synset('vältimine.n.01')""}",mingi ebasoovitava tagajärje vältimiseks,set()
AKT,õigusakt.n.01,"{""Synset('määrus.n.02')""}","võimukandja poolt väljaantav õigusliku reguleerimise vahend (näit. seadus, määrus, otsus), mille järgimine on kohustuslik (EKSS)",set()
AKT,põhimäärus.n.01,"{""Synset('määrus.n.02')""}","normatiiv- v. individuaalakt, mis sätestab juriidilise isiku v. selle allüksuse õigusliku seisundi",set()
AKT,haldusakt.n.01,"{""Synset('käskkiri.n.01')""}","avalik-õiguslikke haldusülesandeid täitva asutuse v. ametniku korraldus, käskkiri, otsus, ettekirjutus vms",set()
AKTIIVSUS,hing.n.03,"{""Synset('energia.n.02')""}",füüsilise ja vaimse jõu ning energia avaldus,set()
AKTIIVSUS,elurõõm.n.01,"{""Synset('hing.n.03')""}",rõõmsameelne suhtumine elusse,set()
AKTSIA,lihtaktsia.n.01,"{""Synset('eelisaktsia.n.01')""}","aktsia, mille omanikul on hääleõigus aktsionäride üldkoosolekul ja ühtlasi õigus osa saada ettevõtte kasumist pärast dividendide maksmist eelisaktsiate omanikele",set()
AKTSIA,viitaktsia.n.01,"{""Synset('lihtaktsia.n.01')""}","aktsia, mille järgi makstakse dividendid alles seejärel. kui põhiaktsiate omanikele on dividendid juba välja makstud",set()
